tag_id,tx,ty,tz,r11,r12,r13,r21,r22,r23,r31,r32,r33
8.0,-441.44165105236516,136.68067196741632,350.8908615625917,-0.3593771072966411,0.43939610789758055,-0.8232734688893897,-0.7841769186412106,0.3360511587945205,0.5216670700057516,0.5058802374630476,0.8330671349553632,0.2237952457738191
9.0,-278.64883844250363,130.86614174172365,276.92161340744576,-0.438047473807592,0.8124534765672818,-0.38475153920627103,-0.4528370292515715,0.17030130649514078,0.8751778896997418,0.776564724333222,0.5575991096929472,0.2933089968100768
10.0,-262.84967687206154,197.86790205369857,53.32567086322949,-0.7718640063963451,0.3324819493763714,0.5419241813517709,0.25177650907250043,0.942528671137028,-0.21965547451381798,-0.583810519163308,-0.03310040850264414,-0.8112149573476127
11.0,-323.4190619348314,179.18666229753987,317.7786128941726,-0.4783558943843179,0.6838653321633839,-0.5509118280596437,-0.6245838844833064,0.17604590703411718,0.7608568432472397,0.6173091193234986,0.7080508488447538,0.3429186768399975
12.0,-398.3175381378977,142.03391546090475,-35.92929918227624,-0.02328201054349223,0.51569205867982,0.8564577082361603,0.9587774023256104,-0.23116515394302478,0.16525303465944205,0.2832028529601532,0.8249997213955755,-0.48905202448357105
13.0,-361.265235467018,168.413269989616,26.808362828899877,-0.5060496696870752,0.32745578364572464,0.7979263991112332,0.7590161819317265,0.6084597971596126,0.23167067597674376,-0.40964411144638785,0.7228758872430995,-0.5564550641204764
15.0,-533.5368314692707,121.08840678780757,391.47467562915404,-0.6133637816760816,0.24346326953563768,-0.7513392673730135,-0.708193069362466,0.251596805071656,0.6596678265203405,0.3496393667860654,0.9367097016352816,0.01809881460032025
18.0,-437.007339762514,141.38291823854976,353.17669309543663,-0.34253498665233917,0.49493920871641656,-0.7985643359009257,-0.5663430957427041,0.5694123261536667,0.5958401522890924,0.7496168536566445,0.6563572718722751,0.08526174671737914
19.0,-290.8702745478984,165.61290548996266,105.77615734550858,-0.7328606058310163,0.2970254165199088,0.612120352237497,0.5419392737523112,0.7987861443618425,0.26123316283210957,-0.41136026293923406,0.5231794790336306,-0.7463685307428481
20.0,-270.7525731046243,169.95412921469722,218.7719370788511,-0.7381828834654984,0.651684248767341,-0.17433782569488931,0.5708192361706218,0.7411273772366722,0.35340587992210887,0.359515386452209,0.1613625237350142,-0.9190815322896021
